2023-12-03 16:57:16 INFO  FileController:60 - --- SERVERFILE ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  MinioServiceImpl:32 - --- UPLOADING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  MinioServiceImpl:43 - --- UPLOADED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  FileServiceImpl:30 - --- SAVING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  FileServiceImpl:35 - --- SAVED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  MessagingServiceImpl:30 - --- SENDING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:57:16 INFO  FileController:90 - --- RESPONDING WITH ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:58:10 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:58:10 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:58:30 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:58:30 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:58:33 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:58:33 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:58:36 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:58:36 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:58:43 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:58:43 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:17 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:17 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:29 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:29 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:44 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:44 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:45 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:45 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:48 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:48 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:59:53 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:59:53 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:02:41 INFO  FileController:56 - --- RECEIVED ---: NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  FileController:63 - --- SERVERFILE ---: NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  MinioServiceImpl:34 - --- UPLOADING --- NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  MinioServiceImpl:45 - --- UPLOADED --- NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  FileServiceImpl:30 - --- SAVING --- NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  FileServiceImpl:35 - --- SAVED --- NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:41 INFO  MessagingServiceImpl:30 - --- SENDING --- NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:02:42 INFO  FileController:94 - --- RESPONDING WITH ---: NPS - Kano Modell - Windoof - SWQM - if21b151_PDF.pdf
2023-12-03 17:03:00 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:00 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:11 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:11 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:15 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:15 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:26 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:26 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:41 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:41 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:50 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:03:50 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:03:57 INFO  FileController:56 - --- RECEIVED ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  FileController:63 - --- SERVERFILE ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  MinioServiceImpl:34 - --- UPLOADING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  MinioServiceImpl:45 - --- UPLOADED --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  FileServiceImpl:30 - --- SAVING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  FileServiceImpl:35 - --- SAVED --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  MessagingServiceImpl:30 - --- SENDING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:03:57 INFO  FileController:94 - --- RESPONDING WITH ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 17:09:16 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:09:16 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:09:25 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:09:25 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:09:45 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:09:45 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:09:49 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:09:49 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:09:49 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:09:49 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:10:14 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:10:14 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:11:12 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:11:12 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:14 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:14 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:27 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:27 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:27 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:27 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:28 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:28 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:28 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:28 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:53 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:53 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:12:57 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:12:57 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:13:02 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:13:02 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:13:06 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:13:06 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:13:24 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:13:24 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:13:48 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:13:48 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:13:53 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:13:53 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:14:00 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:14:00 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:14:14 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:14:14 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:14:25 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:14:25 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:18:34 INFO  FileController:40 - --- GET ALL --- 
2023-12-03 17:18:34 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 17:18:41 INFO  FileController:56 - --- RECEIVED ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 17:18:41 INFO  FileController:63 - --- SERVERFILE ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 17:18:41 INFO  MinioServiceImpl:34 - --- UPLOADING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 17:18:41 INFO  MinioServiceImpl:45 - --- UPLOADED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 17:18:41 INFO  FileServiceImpl:30 - --- SAVING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 17:18:41 INFO  FileServiceImpl:35 - --- SAVED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
